,imdb_title_id,avg_vote
249,tt0012314,6.6
250,tt0012334,6.8
251,tt0012349,8.3
252,tt0012364,8.1
253,tt0012382,6.1
254,tt0012397,6.7
255,tt0012408,6.5
256,tt0012465,7.0
257,tt0012486,6.2
258,tt0012494,7.7
259,tt0012513,6.5
260,tt0012532,7.4
261,tt0012538,6.5
262,tt0012631,6.7
263,tt0012642,6.9
264,tt0012645,6.8
265,tt0012650,6.4
266,tt0012651,6.2
267,tt0012675,6.4
268,tt0012699,5.8
269,tt0012745,6.9
270,tt0012752,6.9
271,tt0012755,6.8
272,tt0012763,6.8
273,tt0012769,5.9
274,tt0012806,6.2
275,tt0012928,6.1
276,tt0012938,6.7
277,tt0012952,6.4
278,tt0012973,6.9
279,tt0012975,6.2
280,tt0013033,7.1
281,tt0013059,6.3
282,tt0013075,7.1
283,tt0013085,6.1
284,tt0013122,6.5
285,tt0013134,6.2
286,tt0013140,7.0
287,tt0013169,6.5
288,tt0013201,7.0
289,tt0013223,4.9
290,tt0013332,6.7
291,tt0013367,5.4
292,tt0013372,6.2
293,tt0013386,6.6
294,tt0013402,6.7
295,tt0013404,6.4
296,tt0013428,6.9
297,tt0013442,7.9
298,tt0013450,6.7
299,tt0013469,6.4
300,tt0013496,6.9
301,tt0013515,6.7
302,tt0013556,7.2
303,tt0013571,6.6
304,tt0013574,6.6
305,tt0013579,6.8
306,tt0013590,5.9
307,tt0013592,6.3
308,tt0013597,5.8
309,tt0013607,5.8
310,tt0013619,6.0
311,tt0013662,6.9
312,tt0013674,7.0
313,tt0013688,6.6
314,tt0013704,6.0
315,tt0013705,5.8
316,tt0013741,6.6
317,tt0013750,6.3
318,tt0013802,6.3
319,tt0013830,6.8
320,tt0013909,5.2
321,tt0013933,7.5
322,tt0013951,6.6
323,tt0014029,6.6
324,tt0014108,6.9
325,tt0014109,7.1
326,tt0014112,5.5
327,tt0014142,7.2
328,tt0014205,6.2
329,tt0014341,7.8
330,tt0014358,7.4
331,tt0014397,6.8
332,tt0014416,6.5
333,tt0014417,7.5
334,tt0014429,8.1
335,tt0014440,7.0
336,tt0014446,6.7
337,tt0014463,6.5
338,tt0014497,7.0
339,tt0014516,7.0
340,tt0014524,6.2
341,tt0014532,6.8
342,tt0014538,7.1
343,tt0014586,6.6
344,tt0014604,6.4
345,tt0014605,6.8
346,tt0014606,6.2
347,tt0014611,7.4
348,tt0014624,7.0
349,tt0014636,6.2
350,tt0014646,6.6
351,tt0014672,6.4
352,tt0014702,6.7
353,tt0014721,5.9
354,tt0014760,6.9
355,tt0014770,6.5
356,tt0014826,5.7
357,tt0014854,6.9
358,tt0014869,6.5
359,tt0014874,6.3
360,tt0014898,6.8
361,tt0014900,6.4
362,tt0014925,6.1
363,tt0014945,7.7
364,tt0014972,7.8
365,tt0014982,6.8
366,tt0015002,7.2
367,tt0015014,7.2
368,tt0015016,7.2
369,tt0015018,6.9
370,tt0015022,5.7
371,tt0015036,6.7
372,tt0015064,8.1
373,tt0015116,6.5
374,tt0015119,7.2
375,tt0015136,7.1
376,tt0015145,5.7
377,tt0015163,7.7
378,tt0015167,6.6
379,tt0015174,7.9
380,tt0015175,8.1
381,tt0015200,4.7
382,tt0015202,7.1
383,tt0015213,6.8
384,tt0015214,7.2
385,tt0015224,7.1
